,date,pred_net_weight,rm_id,cum_weight
0,2025-01-01,0.0,365.0,0.0
1,2025-01-02,0.0,365.0,0.0
2,2025-01-03,0.0,365.0,0.0
3,2025-01-04,0.0,365.0,0.0
4,2025-01-05,0.0,365.0,0.0
5,2025-01-06,0.0,365.0,0.0
6,2025-01-07,0.0,365.0,0.0
7,2025-01-08,0.0,365.0,0.0
8,2025-01-09,0.0,365.0,0.0
9,2025-01-10,0.0,365.0,0.0
10,2025-01-11,0.0,365.0,0.0
11,2025-01-12,0.0,365.0,0.0
12,2025-01-13,0.0,365.0,0.0
13,2025-01-14,0.0,365.0,0.0
14,2025-01-15,0.0,365.0,0.0
15,2025-01-16,0.0,365.0,0.0
16,2025-01-17,0.0,365.0,0.0
17,2025-01-18,0.0,365.0,0.0
18,2025-01-19,0.0,365.0,0.0
19,2025-01-20,0.0,365.0,0.0
20,2025-01-21,0.0,365.0,0.0
21,2025-01-22,0.0,365.0,0.0
22,2025-01-23,0.0,365.0,0.0
23,2025-01-24,0.0,365.0,0.0
24,2025-01-25,0.0,365.0,0.0
25,2025-01-26,0.0,365.0,0.0
26,2025-01-27,0.0,365.0,0.0
27,2025-01-28,0.0,365.0,0.0
28,2025-01-29,0.0,365.0,0.0
29,2025-01-30,0.0,365.0,0.0
30,2025-01-31,0.0,365.0,0.0
31,2025-02-01,0.0,365.0,0.0
32,2025-02-02,0.0,365.0,0.0
33,2025-02-03,0.0,365.0,0.0
34,2025-02-04,0.0,365.0,0.0
35,2025-02-05,0.0,365.0,0.0
36,2025-02-06,0.0,365.0,0.0
37,2025-02-07,0.0,365.0,0.0
38,2025-02-08,0.0,365.0,0.0
39,2025-02-09,0.0,365.0,0.0
40,2025-02-10,0.0,365.0,0.0
41,2025-02-11,0.0,365.0,0.0
42,2025-02-12,0.0,365.0,0.0
43,2025-02-13,0.0,365.0,0.0
44,2025-02-14,0.0,365.0,0.0
45,2025-02-15,0.0,365.0,0.0
46,2025-02-16,0.0,365.0,0.0
47,2025-02-17,0.0,365.0,0.0
48,2025-02-18,0.0,365.0,0.0
49,2025-02-19,0.0,365.0,0.0
50,2025-02-20,0.0,365.0,0.0
51,2025-02-21,0.0,365.0,0.0
52,2025-02-22,0.0,365.0,0.0
53,2025-02-23,0.0,365.0,0.0
54,2025-02-24,0.0,365.0,0.0
55,2025-02-25,0.0,365.0,0.0
56,2025-02-26,0.0,365.0,0.0
57,2025-02-27,0.0,365.0,0.0
58,2025-02-28,0.0,365.0,0.0
59,2025-03-01,0.0,365.0,0.0
60,2025-03-02,0.0,365.0,0.0
61,2025-03-03,0.0,365.0,0.0
62,2025-03-04,0.0,365.0,0.0
63,2025-03-05,0.0,365.0,0.0
64,2025-03-06,0.0,365.0,0.0
65,2025-03-07,0.0,365.0,0.0
66,2025-03-08,0.0,365.0,0.0
67,2025-03-09,0.0,365.0,0.0
68,2025-03-10,0.0,365.0,0.0
69,2025-03-11,0.0,365.0,0.0
70,2025-03-12,0.0,365.0,0.0
71,2025-03-13,0.0,365.0,0.0
72,2025-03-14,0.0,365.0,0.0
73,2025-03-15,0.0,365.0,0.0
74,2025-03-16,0.0,365.0,0.0
75,2025-03-17,0.0,365.0,0.0
76,2025-03-18,0.0,365.0,0.0
77,2025-03-19,0.0,365.0,0.0
78,2025-03-20,0.0,365.0,0.0
79,2025-03-21,0.0,365.0,0.0
80,2025-03-22,0.0,365.0,0.0
81,2025-03-23,0.0,365.0,0.0
82,2025-03-24,0.0,365.0,0.0
83,2025-03-25,0.0,365.0,0.0
84,2025-03-26,0.0,365.0,0.0
85,2025-03-27,0.0,365.0,0.0
86,2025-03-28,0.0,365.0,0.0
87,2025-03-29,0.0,365.0,0.0
88,2025-03-30,0.0,365.0,0.0
89,2025-03-31,0.0,365.0,0.0
90,2025-04-01,0.0,365.0,0.0
91,2025-04-02,0.0,365.0,0.0
92,2025-04-03,0.0,365.0,0.0
93,2025-04-04,0.0,365.0,0.0
94,2025-04-05,0.0,365.0,0.0
95,2025-04-06,0.0,365.0,0.0
96,2025-04-07,0.0,365.0,0.0
97,2025-04-08,0.0,365.0,0.0
98,2025-04-09,0.0,365.0,0.0
99,2025-04-10,0.0,365.0,0.0
100,2025-04-11,0.0,365.0,0.0
101,2025-04-12,0.0,365.0,0.0
102,2025-04-13,0.0,365.0,0.0
103,2025-04-14,0.0,365.0,0.0
104,2025-04-15,0.0,365.0,0.0
105,2025-04-16,0.0,365.0,0.0
106,2025-04-17,0.0,365.0,0.0
107,2025-04-18,0.0,365.0,0.0
108,2025-04-19,0.0,365.0,0.0
109,2025-04-20,0.0,365.0,0.0
110,2025-04-21,0.0,365.0,0.0
111,2025-04-22,0.0,365.0,0.0
112,2025-04-23,0.0,365.0,0.0
113,2025-04-24,0.0,365.0,0.0
114,2025-04-25,0.0,365.0,0.0
115,2025-04-26,0.0,365.0,0.0
116,2025-04-27,0.0,365.0,0.0
117,2025-04-28,0.0,365.0,0.0
118,2025-04-29,0.0,365.0,0.0
119,2025-04-30,0.0,365.0,0.0
120,2025-05-01,0.0,365.0,0.0
121,2025-05-02,0.0,365.0,0.0
122,2025-05-03,0.0,365.0,0.0
123,2025-05-04,0.0,365.0,0.0
124,2025-05-05,0.0,365.0,0.0
125,2025-05-06,0.0,365.0,0.0
126,2025-05-07,0.0,365.0,0.0
127,2025-05-08,0.0,365.0,0.0
128,2025-05-09,0.0,365.0,0.0
129,2025-05-10,0.0,365.0,0.0
130,2025-05-11,0.0,365.0,0.0
131,2025-05-12,0.0,365.0,0.0
132,2025-05-13,0.0,365.0,0.0
133,2025-05-14,0.0,365.0,0.0
134,2025-05-15,0.0,365.0,0.0
135,2025-05-16,0.0,365.0,0.0
136,2025-05-17,0.0,365.0,0.0
137,2025-05-18,0.0,365.0,0.0
138,2025-05-19,0.0,365.0,0.0
139,2025-05-20,0.0,365.0,0.0
140,2025-05-21,0.0,365.0,0.0
141,2025-05-22,0.0,365.0,0.0
142,2025-05-23,0.0,365.0,0.0
143,2025-05-24,0.0,365.0,0.0
144,2025-05-25,0.0,365.0,0.0
145,2025-05-26,0.0,365.0,0.0
